Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2021/2022;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;1050;850;196;4
2021/2022;49;Giambellino;627;353;272;2
2021/2022;50;Porta Genova;717;631;82;4
2021/2022;51;Porta Magenta;1006;940;64;2
2021/2022;52;Bande Nere;1813;1369;439;5
2021/2022;53;Lorenteggio;1076;782;293;1
2021/2022;54;Muggiano;104;96;8;
2021/2022;55;Baggio - Q.re degli Olmi - Q.re Valsesia;1046;633;402;11
2021/2022;56;Forze Armate;1168;876;291;1
2021/2022;57;San Siro;740;380;356;4
2021/2022;58;De Angeli - Monte Rosa;219;212;7;
2021/2022;59;Tre Torri;;;;
2021/2022;60;Stadio - Ippodromi;1517;839;670;8
2021/2022;61;Quarto Cagnino;293;246;47;
2021/2022;62;Quinto Romano;124;99;25;
2021/2022;63;Figino;158;106;51;1
2021/2022;64;Trenno;;;;
2021/2022;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;1334;1100;230;4
2021/2022;66;QT 8;296;257;38;1
2021/2022;67;Portello;951;845;105;1
2021/2022;68;Pagano;849;808;40;1
2021/2022;69;Sarpi;1391;1188;201;2
2021/2022;70;Ghisolfa;;;;
2021/2022;71;Villapizzone - Cagnola - Boldinasco;1826;1121;703;2
2021/2022;72;Maggiore - Musocco - Certosa;451;295;155;1
2021/2022;73;Cascina Merlata;;;;
2021/2022;74;Roserio;;;;
2021/2022;75;Stephenson;;;;
2021/2022;76;Quarto Oggiaro - Vialba - Musocco;1034;581;453;
2021/2022;77;Bovisa;689;442;247;
2021/2022;78;Farini;;;;
2021/2022;79;Dergano;885;575;304;6
2021/2022;80;Affori;1016;606;401;9
2021/2022;81;Bovisasca;206;145;60;1
2021/2022;82;Comasina;395;217;178;
2021/2022;83;Bruzzano;588;374;213;1
2021/2022;84;Parco Nord;87;81;6;
2021/2022;85;Parco delle Abbazie;;;;
2021/2022;86;Parco dei Navigli;;;;
2021/2022;87;Assiano;;;;
2021/2022;88;Parco Bosco in citta';;;;
2005/2006;1;Duomo;859;771;88;
2005/2006;2;Brera;1226;1063;163;
2005/2006;3;Giardini P.ta Venezia;;;;
2005/2006;4;Guastalla;1310;1243;67;
2005/2006;5;Porta Vigentina - Porta Lodovica;917;854;63;
2005/2006;6;Porta Ticinese - Conca del Naviglio;607;452;155;
2005/2006;7;Magenta - S.Vittore;1465;1387;78;
2005/2006;8;Parco Sempione;;;;
2005/2006;9;Porta Garibaldi - Porta Nuova;;;;
2005/2006;10;Stazione Centrale - Ponte Seveso;728;646;82;
2005/2006;11;Isola;591;499;90;2
2005/2006;12;Maciachini - Maggiolina;1379;1102;277;
2005/2006;13;Greco - Segnano;452;341;111;
2005/2006;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1423;1287;136;
2005/2006;15;Bicocca;;;;
2005/2006;16;Gorla - Precotto;1084;871;213;
2005/2006;17;Adriano;354;283;71;
2005/2006;18;Cimiano - Rottole - Q.re Feltre;964;789;175;
2005/2006;19;Padova - Turro - Crescenzago;1084;841;241;2
2005/2006;20;Loreto - Casoretto - NoLo;1466;947;519;
2005/2006;21;Buenos Aires - Porta Venezia - Porta Monforte;1685;1407;276;2
2005/2006;22;Citta' studi;2180;1961;219;
2005/2006;23;Lambrate - Ortica;798;683;113;2
2005/2006;24;Parco Forlanini - Cavriano;;;;
2005/2006;25;Corsica;459;385;74;
2005/2006;26;XXII Marzo;991;828;163;
2005/2006;27;Pta Romana;287;247;40;
2005/2006;28;Umbria - Molise - Calvairate;408;337;71;
2005/2006;29;Ortomercato;223;102;121;
2005/2006;30;Taliedo - Morsenchio - Q.re Forlanini;708;592;116;
2005/2006;31;Monlue' - Ponte Lambro;138;88;50;
2005/2006;32;Triulzo Superiore;;;;
2005/2006;33;Rogoredo - Santa Giulia;240;200;40;
2005/2006;34;Chiaravalle;;;;
2005/2006;35;Lodi - Corvetto;1606;1267;339;
2005/2006;36;Scalo Romana;205;139;66;
2005/2006;37;Morivione;291;261;29;1
2005/2006;38;Vigentino - Q.re Fatima;585;484;101;
2005/2006;39;Quintosole;;;;
2005/2006;40;Ronchetto delle Rane;;;;
2005/2006;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;851;734;117;
2005/2006;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;1015;782;233;
2005/2006;43;Tibaldi;271;268;3;
2005/2006;44;Porta Ticinese - Conchetta;186;148;38;
2005/2006;45;Moncucco - San Cristoforo;321;239;82;
2005/2006;46;Barona;619;516;103;
2005/2006;47;Cantalupa;;;;
2005/2006;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;694;615;79;
2005/2006;49;Giambellino;580;461;119;
2005/2006;50;Porta Genova;637;561;75;1
2005/2006;51;Porta Magenta;1038;954;84;
2005/2006;52;Bande Nere;1963;1699;264;
2005/2006;53;Lorenteggio;1028;837;190;1
2005/2006;54;Muggiano;;;;
2005/2006;55;Baggio - Q.re degli Olmi - Q.re Valsesia;1057;917;138;2
2005/2006;56;Forze Armate;827;698;127;2
2005/2006;57;San Siro;433;262;171;
2005/2006;58;De Angeli - Monte Rosa;181;170;11;
2005/2006;59;Tre Torri;;;;
2005/2006;60;Stadio - Ippodromi;1788;1283;498;7
2005/2006;61;Quarto Cagnino;272;232;40;
2005/2006;62;Quinto Romano;173;149;24;
2005/2006;63;Figino;139;126;13;
2005/2006;64;Trenno;;;;
2005/2006;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;1330;1215;115;
2005/2006;66;QT 8;349;319;30;
2005/2006;67;Portello;865;735;130;
2005/2006;68;Pagano;883;833;50;
2005/2006;69;Sarpi;1338;1122;216;
2005/2006;70;Ghisolfa;;;;
2005/2006;71;Villapizzone - Cagnola - Boldinasco;1751;1294;454;3
2005/2006;72;Maggiore - Musocco - Certosa;162;124;38;
2005/2006;73;Cascina Merlata;;;;
2005/2006;74;Roserio;;;;
2005/2006;75;Stephenson;;;;
2005/2006;76;Quarto Oggiaro - Vialba - Musocco;1047;833;213;1
2005/2006;77;Bovisa;546;387;159;
2005/2006;78;Farini;;;;
2005/2006;79;Dergano;1018;778;240;
2005/2006;80;Affori;858;634;223;1
2005/2006;81;Bovisasca;183;147;36;
2005/2006;82;Comasina;448;359;89;
2005/2006;83;Bruzzano;408;333;75;
2005/2006;84;Parco Nord;66;66;;
2005/2006;85;Parco delle Abbazie;;;;
2005/2006;86;Parco dei Navigli;;;;
2005/2006;87;Assiano;87;77;10;
2005/2006;88;Parco Bosco in citta';;;;
2006/2007;1;Duomo;893;809;84;
2006/2007;2;Brera;1143;1000;142;1
2006/2007;3;Giardini P.ta Venezia;;;;
2006/2007;4;Guastalla;1281;1218;63;
2006/2007;5;Porta Vigentina - Porta Lodovica;909;846;63;
2006/2007;6;Porta Ticinese - Conca del Naviglio;607;450;157;
2006/2007;7;Magenta - S.Vittore;1486;1410;76;
2006/2007;8;Parco Sempione;;;;
2006/2007;9;Porta Garibaldi - Porta Nuova;;;;
2006/2007;10;Stazione Centrale - Ponte Seveso;724;650;74;
2006/2007;11;Isola;593;503;89;1
2006/2007;12;Maciachini - Maggiolina;1347;1070;277;
2006/2007;13;Greco - Segnano;443;342;101;
2006/2007;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1462;1320;142;
2006/2007;15;Bicocca;;;;
2006/2007;16;Gorla - Precotto;1135;911;223;1
2006/2007;17;Adriano;371;291;80;
2006/2007;18;Cimiano - Rottole - Q.re Feltre;932;773;158;1
2006/2007;19;Padova - Turro - Crescenzago;1077;828;247;2
2006/2007;20;Loreto - Casoretto - NoLo;1493;960;533;
2006/2007;21;Buenos Aires - Porta Venezia - Porta Monforte;1752;1456;295;1
2006/2007;22;Citta' studi;2186;1973;211;2
2006/2007;23;Lambrate - Ortica;814;704;109;1
2006/2007;24;Parco Forlanini - Cavriano;;;;
2006/2007;25;Corsica;468;399;69;
2006/2007;26;XXII Marzo;904;752;151;1
2006/2007;27;Pta Romana;297;261;36;
2006/2007;28;Umbria - Molise - Calvairate;449;374;75;
2006/2007;29;Ortomercato;217;88;129;
2006/2007;30;Taliedo - Morsenchio - Q.re Forlanini;715;598;117;
2006/2007;31;Monlue' - Ponte Lambro;144;94;50;
2006/2007;32;Triulzo Superiore;;;;
2006/2007;33;Rogoredo - Santa Giulia;255;210;45;
2006/2007;34;Chiaravalle;;;;
2006/2007;35;Lodi - Corvetto;1575;1208;367;
2006/2007;36;Scalo Romana;207;144;63;
2006/2007;37;Morivione;276;247;29;
2006/2007;38;Vigentino - Q.re Fatima;598;510;88;
2006/2007;39;Quintosole;;;;
2006/2007;40;Ronchetto delle Rane;;;;
2006/2007;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;834;728;106;
2006/2007;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;1049;820;229;
2006/2007;43;Tibaldi;280;278;2;
2006/2007;44;Porta Ticinese - Conchetta;180;143;37;
2006/2007;45;Moncucco - San Cristoforo;310;220;90;
2006/2007;46;Barona;584;490;94;
2006/2007;47;Cantalupa;;;;
2006/2007;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;708;629;79;
2006/2007;49;Giambellino;602;478;124;
2006/2007;50;Porta Genova;681;606;74;1
2006/2007;51;Porta Magenta;1055;975;80;
2006/2007;52;Bande Nere;2005;1737;268;
2006/2007;53;Lorenteggio;1041;855;185;1
2006/2007;54;Muggiano;;;;
2006/2007;55;Baggio - Q.re degli Olmi - Q.re Valsesia;1100;956;144;
2006/2007;56;Forze Armate;830;707;121;2
2006/2007;57;San Siro;448;268;180;
2006/2007;58;De Angeli - Monte Rosa;181;173;8;
2006/2007;59;Tre Torri;;;;
2006/2007;60;Stadio - Ippodromi;1565;1116;443;6
2006/2007;61;Quarto Cagnino;265;224;40;1
2006/2007;62;Quinto Romano;156;135;21;
2006/2007;63;Figino;141;129;12;
2006/2007;64;Trenno;;;;
2006/2007;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;1365;1261;104;
2006/2007;66;QT 8;371;340;30;1
2006/2007;67;Portello;842;713;129;
2006/2007;68;Pagano;872;825;47;
2006/2007;69;Sarpi;1340;1116;224;
2006/2007;70;Ghisolfa;;;;
2006/2007;71;Villapizzone - Cagnola - Boldinasco;1805;1341;463;1
2006/2007;72;Maggiore - Musocco - Certosa;166;131;35;
2006/2007;73;Cascina Merlata;;;;
2006/2007;74;Roserio;;;;
2006/2007;75;Stephenson;;;;
2006/2007;76;Quarto Oggiaro - Vialba - Musocco;1083;851;232;
2006/2007;77;Bovisa;547;375;172;
2006/2007;78;Farini;;;;
2006/2007;79;Dergano;1001;753;248;
2006/2007;80;Affori;893;655;238;
2006/2007;81;Bovisasca;183;143;40;
2006/2007;82;Comasina;427;335;92;
2006/2007;83;Bruzzano;427;350;77;
2006/2007;84;Parco Nord;67;66;;1
2006/2007;85;Parco delle Abbazie;;;;
2006/2007;86;Parco dei Navigli;;;;
2006/2007;87;Assiano;87;78;9;
2006/2007;88;Parco Bosco in citta';;;;
2007/2008;1;Duomo;909;805;97;7
2007/2008;2;Brera;1199;1049;145;5
2007/2008;3;Giardini P.ta Venezia;;;;
2007/2008;4;Guastalla;1348;1270;65;13
2007/2008;5;Porta Vigentina - Porta Lodovica;928;865;57;6
2007/2008;6;Porta Ticinese - Conca del Naviglio;614;485;125;4
2007/2008;7;Magenta - S.Vittore;1518;1417;95;6
2007/2008;8;Parco Sempione;;;;
2007/2008;9;Porta Garibaldi - Porta Nuova;;;;
2007/2008;10;Stazione Centrale - Ponte Seveso;770;691;79;
2007/2008;11;Isola;622;530;90;2
2007/2008;12;Maciachini - Maggiolina;1333;1053;273;7
2007/2008;13;Greco - Segnano;467;344;118;5
2007/2008;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1513;1346;166;1
2007/2008;15;Bicocca;;;;
2007/2008;16;Gorla - Precotto;1154;869;282;3
2007/2008;17;Adriano;396;290;103;3
2007/2008;18;Cimiano - Rottole - Q.re Feltre;1023;818;184;21
2007/2008;19;Padova - Turro - Crescenzago;1073;800;270;3
2007/2008;20;Loreto - Casoretto - NoLo;1458;903;552;3
2007/2008;21;Buenos Aires - Porta Venezia - Porta Monforte;1689;1417;261;11
2007/2008;22;Citta' studi;2219;2008;201;10
2007/2008;23;Lambrate - Ortica;944;656;197;91
2007/2008;24;Parco Forlanini - Cavriano;;;;
2007/2008;25;Corsica;540;431;94;15
2007/2008;26;XXII Marzo;1002;816;184;2
2007/2008;27;Pta Romana;293;253;34;6
2007/2008;28;Umbria - Molise - Calvairate;443;373;70;
2007/2008;29;Ortomercato;232;94;138;
2007/2008;30;Taliedo - Morsenchio - Q.re Forlanini;726;589;134;3
2007/2008;31;Monlue' - Ponte Lambro;140;77;63;
2007/2008;32;Triulzo Superiore;;;;
2007/2008;33;Rogoredo - Santa Giulia;279;214;62;3
2007/2008;34;Chiaravalle;;;;
2007/2008;35;Lodi - Corvetto;1721;1262;422;37
2007/2008;36;Scalo Romana;207;150;57;
2007/2008;37;Morivione;277;247;30;
2007/2008;38;Vigentino - Q.re Fatima;611;512;80;19
2007/2008;39;Quintosole;;;;
2007/2008;40;Ronchetto delle Rane;;;;
2007/2008;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;852;716;135;1
2007/2008;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;1048;813;234;1
2007/2008;43;Tibaldi;303;301;1;1
2007/2008;44;Porta Ticinese - Conchetta;184;146;34;4
2007/2008;45;Moncucco - San Cristoforo;306;204;101;1
2007/2008;46;Barona;564;456;107;1
2007/2008;47;Cantalupa;;;;
2007/2008;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;703;615;88;
2007/2008;49;Giambellino;560;420;140;
2007/2008;50;Porta Genova;635;560;75;
2007/2008;51;Porta Magenta;1095;1013;82;
2007/2008;52;Bande Nere;1994;1719;270;5
2007/2008;53;Lorenteggio;1094;865;229;
2007/2008;54;Muggiano;;;;
2007/2008;55;Baggio - Q.re degli Olmi - Q.re Valsesia;1127;951;176;
2007/2008;56;Forze Armate;964;809;155;
2007/2008;57;San Siro;406;218;188;
2007/2008;58;De Angeli - Monte Rosa;188;178;10;
2007/2008;59;Tre Torri;;;;
2007/2008;60;Stadio - Ippodromi;1689;1192;488;9
2007/2008;61;Quarto Cagnino;254;221;32;1
2007/2008;62;Quinto Romano;158;129;28;1
2007/2008;63;Figino;135;120;14;1
2007/2008;64;Trenno;;;;
2007/2008;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;1423;1294;126;3
2007/2008;66;QT 8;388;354;34;
2007/2008;67;Portello;844;716;126;2
2007/2008;68;Pagano;889;848;39;2
2007/2008;69;Sarpi;1292;1076;215;1
2007/2008;70;Ghisolfa;;;;
2007/2008;71;Villapizzone - Cagnola - Boldinasco;1845;1329;514;2
2007/2008;72;Maggiore - Musocco - Certosa;185;147;37;1
2007/2008;73;Cascina Merlata;;;;
2007/2008;74;Roserio;;;;
