Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2005/2006;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;336;287;49;
2005/2006;49;Giambellino;288;232;55;1
2005/2006;50;Porta Genova;523;454;63;6
2005/2006;51;Porta Magenta;383;349;31;3
2005/2006;52;Bande Nere;1368;1185;181;2
2005/2006;53;Lorenteggio;562;457;103;2
2005/2006;54;Muggiano;20;18;2;
2005/2006;55;Baggio - Q.re degli Olmi - Q.re Valsesia;736;638;98;
2005/2006;56;Forze Armate;651;563;87;1
2005/2006;57;San Siro;136;71;65;
2005/2006;58;De Angeli - Monte Rosa;342;317;24;1
2005/2006;59;Tre Torri;;;;
2005/2006;60;Stadio - Ippodromi;938;651;287;
2005/2006;61;Quarto Cagnino;240;214;26;
2005/2006;62;Quinto Romano;101;85;14;2
2005/2006;63;Figino;73;67;6;
2005/2006;64;Trenno;131;129;2;
2005/2006;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;616;579;37;
2005/2006;66;QT 8;256;231;24;1
2005/2006;67;Portello;350;301;49;
2005/2006;68;Pagano;545;524;21;
2005/2006;69;Sarpi;656;552;97;7
2005/2006;70;Ghisolfa;15;15;;
2005/2006;71;Villapizzone - Cagnola - Boldinasco;991;755;233;3
2005/2006;72;Maggiore - Musocco - Certosa;123;100;23;
2005/2006;73;Cascina Merlata;;;;
2005/2006;74;Roserio;;;;
2005/2006;75;Stephenson;;;;
2005/2006;76;Quarto Oggiaro - Vialba - Musocco;709;548;161;
2005/2006;77;Bovisa;385;279;99;7
2005/2006;78;Farini;;;;
2005/2006;79;Dergano;447;317;130;
2005/2006;80;Affori;460;342;114;4
2005/2006;81;Bovisasca;216;179;37;
2005/2006;82;Comasina;272;227;36;9
2005/2006;83;Bruzzano;257;209;44;4
2005/2006;84;Parco Nord;58;49;2;7
2005/2006;85;Parco delle Abbazie;;;;
2005/2006;86;Parco dei Navigli;;;;
2005/2006;87;Assiano;;;;
2005/2006;88;Parco Bosco in citta';;;;
2006/2007;1;Duomo;256;225;31;
2006/2007;2;Brera;416;376;40;
2006/2007;3;Giardini P.ta Venezia;115;99;16;
2006/2007;4;Guastalla;345;319;25;1
2006/2007;5;Porta Vigentina - Porta Lodovica;353;322;31;
2006/2007;6;Porta Ticinese - Conca del Naviglio;467;406;61;
2006/2007;7;Magenta - S.Vittore;448;422;26;
2006/2007;8;Parco Sempione;;;;
2006/2007;9;Porta Garibaldi - Porta Nuova;48;42;6;
2006/2007;10;Stazione Centrale - Ponte Seveso;143;121;21;1
2006/2007;11;Isola;264;214;50;
2006/2007;12;Maciachini - Maggiolina;508;409;93;6
2006/2007;13;Greco - Segnano;153;118;35;
2006/2007;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;692;606;79;7
2006/2007;15;Bicocca;;;;
2006/2007;16;Gorla - Precotto;548;414;122;12
2006/2007;17;Adriano;198;165;33;
2006/2007;18;Cimiano - Rottole - Q.re Feltre;423;344;79;
2006/2007;19;Padova - Turro - Crescenzago;354;280;69;5
2006/2007;20;Loreto - Casoretto - NoLo;539;345;194;
2006/2007;21;Buenos Aires - Porta Venezia - Porta Monforte;965;870;87;8
2006/2007;22;Citta' studi;530;451;59;20
2006/2007;23;Lambrate - Ortica;278;229;44;5
2006/2007;24;Parco Forlanini - Cavriano;;;;
2006/2007;25;Corsica;259;196;55;8
2006/2007;26;XXII Marzo;563;498;59;6
2006/2007;27;Pta Romana;62;54;3;5
2006/2007;28;Umbria - Molise - Calvairate;227;187;37;3
2006/2007;29;Ortomercato;111;52;59;
2006/2007;30;Taliedo - Morsenchio - Q.re Forlanini;254;220;34;
2006/2007;31;Monlue' - Ponte Lambro;67;43;24;
2006/2007;32;Triulzo Superiore;;;;
2006/2007;33;Rogoredo - Santa Giulia;127;109;18;
2006/2007;34;Chiaravalle;17;14;3;
2006/2007;35;Lodi - Corvetto;808;636;172;
2006/2007;36;Scalo Romana;;;;
2006/2007;37;Morivione;69;54;15;
2006/2007;38;Vigentino - Q.re Fatima;282;239;42;1
2006/2007;39;Quintosole;;;;
2006/2007;40;Ronchetto delle Rane;;;;
2006/2007;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;246;213;33;
2006/2007;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;498;399;95;4
2006/2007;43;Tibaldi;90;89;;1
2006/2007;44;Porta Ticinese - Conchetta;199;148;44;7
2006/2007;45;Moncucco - San Cristoforo;239;188;51;
2006/2007;46;Barona;180;152;24;4
2006/2007;47;Cantalupa;;;;
2006/2007;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;216;185;31;
2006/2007;49;Giambellino;181;150;30;1
2006/2007;50;Porta Genova;345;299;42;4
2006/2007;51;Porta Magenta;266;246;18;2
2006/2007;52;Bande Nere;916;783;131;2
2006/2007;53;Lorenteggio;371;307;63;1
2006/2007;54;Muggiano;15;14;1;
2006/2007;55;Baggio - Q.re degli Olmi - Q.re Valsesia;478;412;66;
2006/2007;56;Forze Armate;421;364;56;1
2006/2007;57;San Siro;102;55;47;
