Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2010/2011;32;Triulzo Superiore;;;;
2010/2011;33;Rogoredo - Santa Giulia;201;194;7;
2010/2011;34;Chiaravalle;27;26;1;
2010/2011;35;Lodi - Corvetto;1213;1169;43;1
2010/2011;36;Scalo Romana;;;;
2010/2011;37;Morivione;95;92;2;1
2010/2011;38;Vigentino - Q.re Fatima;413;401;11;1
2010/2011;39;Quintosole;;;;
2010/2011;40;Ronchetto delle Rane;;;;
2010/2011;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;336;323;12;1
2010/2011;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;714;686;28;
2010/2011;43;Tibaldi;200;197;3;
2010/2011;44;Porta Ticinese - Conchetta;303;291;7;5
2010/2011;45;Moncucco - San Cristoforo;386;380;6;
2010/2011;46;Barona;257;250;7;
2010/2011;47;Cantalupa;;;;
2010/2011;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;307;302;5;
2010/2011;49;Giambellino;288;263;23;2
2010/2011;50;Porta Genova;495;484;11;
2010/2011;51;Porta Magenta;382;370;11;1
2010/2011;52;Bande Nere;1402;1341;59;2
2010/2011;53;Lorenteggio;598;576;21;1
2010/2011;54;Muggiano;26;25;1;
2010/2011;55;Baggio - Q.re degli Olmi - Q.re Valsesia;701;682;19;
2010/2011;56;Forze Armate;636;623;12;1
2010/2011;57;San Siro;173;155;18;
2010/2011;58;De Angeli - Monte Rosa;343;333;10;
2010/2011;59;Tre Torri;;;;
2010/2011;60;Stadio - Ippodromi;924;784;140;
2010/2011;61;Quarto Cagnino;248;239;9;
2010/2011;62;Quinto Romano;101;97;4;
2010/2011;63;Figino;67;64;3;
2010/2011;64;Trenno;132;129;3;
2010/2011;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;615;606;9;
2010/2011;66;QT 8;242;233;9;
2010/2011;67;Portello;352;350;2;
2010/2011;68;Pagano;571;559;12;
2010/2011;69;Sarpi;585;567;15;3
2010/2011;70;Ghisolfa;;;;
2010/2011;71;Villapizzone - Cagnola - Boldinasco;1167;1118;45;4
2010/2011;72;Maggiore - Musocco - Certosa;169;157;12;
2010/2011;73;Cascina Merlata;;;;
2010/2011;74;Roserio;;;;
2010/2011;75;Stephenson;;;;
2010/2011;76;Quarto Oggiaro - Vialba - Musocco;661;643;18;
2010/2011;77;Bovisa;413;392;20;1
2010/2011;78;Farini;;;;
2010/2011;79;Dergano;439;426;13;
2010/2011;80;Affori;484;468;16;
2010/2011;81;Bovisasca;233;224;9;
2010/2011;82;Comasina;257;253;4;
2010/2011;83;Bruzzano;281;271;10;
2010/2011;84;Parco Nord;100;98;2;
2010/2011;85;Parco delle Abbazie;;;;
2010/2011;86;Parco dei Navigli;;;;
2010/2011;87;Assiano;;;;
2010/2011;88;Parco Bosco in citta';;;;
2011/2012;1;Duomo;419;375;44;
2011/2012;2;Brera;649;582;67;
2011/2012;3;Giardini P.ta Venezia;159;153;6;
2011/2012;4;Guastalla;440;417;23;
2011/2012;5;Porta Vigentina - Porta Lodovica;607;556;51;
2011/2012;6;Porta Ticinese - Conca del Naviglio;721;629;92;
2011/2012;7;Magenta - S.Vittore;831;783;48;
2011/2012;8;Parco Sempione;;;;
2011/2012;9;Porta Garibaldi - Porta Nuova;75;68;7;
2011/2012;10;Stazione Centrale - Ponte Seveso;245;209;36;
2011/2012;11;Isola;435;371;63;1
2011/2012;12;Maciachini - Maggiolina;816;657;159;
2011/2012;13;Greco - Segnano;266;182;84;
2011/2012;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1113;941;171;1
2011/2012;15;Bicocca;;;;
2011/2012;16;Gorla - Precotto;891;660;231;
2011/2012;17;Adriano;298;215;83;
2011/2012;18;Cimiano - Rottole - Q.re Feltre;658;515;142;1
2011/2012;19;Padova - Turro - Crescenzago;555;403;152;
2011/2012;20;Loreto - Casoretto - NoLo;860;546;314;
2011/2012;21;Buenos Aires - Porta Venezia - Porta Monforte;1487;1322;165;
2011/2012;22;Citta' studi;766;674;92;
2011/2012;23;Lambrate - Ortica;447;379;68;
2011/2012;24;Parco Forlanini - Cavriano;;;;
2011/2012;25;Corsica;615;534;81;
2011/2012;26;XXII Marzo;802;701;101;
2011/2012;27;Pta Romana;116;112;4;
2011/2012;28;Umbria - Molise - Calvairate;334;262;72;
2011/2012;29;Ortomercato;146;66;80;
2011/2012;30;Taliedo - Morsenchio - Q.re Forlanini;461;371;90;
2011/2012;31;Monlue' - Ponte Lambro;101;52;49;
2011/2012;32;Triulzo Superiore;;;;
2011/2012;33;Rogoredo - Santa Giulia;199;161;38;
2011/2012;34;Chiaravalle;19;17;2;
2011/2012;35;Lodi - Corvetto;1238;959;279;
2011/2012;36;Scalo Romana;;;;
2011/2012;37;Morivione;103;83;20;
2011/2012;38;Vigentino - Q.re Fatima;418;350;68;
2011/2012;39;Quintosole;;;;
2011/2012;40;Ronchetto delle Rane;;;;
2011/2012;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;347;262;85;
2011/2012;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;763;598;165;
2011/2012;43;Tibaldi;210;206;4;
2011/2012;44;Porta Ticinese - Conchetta;301;241;60;
2011/2012;45;Moncucco - San Cristoforo;410;327;83;
2011/2012;46;Barona;255;186;69;
2011/2012;47;Cantalupa;;;;
2011/2012;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;348;274;74;
2011/2012;49;Giambellino;295;183;112;
2011/2012;50;Porta Genova;488;467;21;
2011/2012;51;Porta Magenta;398;365;33;
2011/2012;52;Bande Nere;1403;1148;255;
2011/2012;53;Lorenteggio;585;461;124;
2011/2012;54;Muggiano;24;19;5;
2011/2012;55;Baggio - Q.re degli Olmi - Q.re Valsesia;704;578;126;
2011/2012;56;Forze Armate;640;506;134;
2011/2012;57;San Siro;172;90;82;
2011/2012;58;De Angeli - Monte Rosa;335;309;26;
2011/2012;59;Tre Torri;;;;
2011/2012;60;Stadio - Ippodromi;856;627;229;
2011/2012;61;Quarto Cagnino;244;202;42;
2011/2012;62;Quinto Romano;94;76;18;
2011/2012;63;Figino;65;57;8;
2011/2012;64;Trenno;135;131;4;
2011/2012;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;621;558;63;
2011/2012;66;QT 8;240;217;23;
2011/2012;67;Portello;364;329;35;
2011/2012;68;Pagano;539;518;21;
2011/2012;69;Sarpi;659;550;109;
2011/2012;70;Ghisolfa;;;;
2011/2012;71;Villapizzone - Cagnola - Boldinasco;1183;769;412;2
2011/2012;72;Maggiore - Musocco - Certosa;171;127;44;
2011/2012;73;Cascina Merlata;;;;
2011/2012;74;Roserio;;;;
2011/2012;75;Stephenson;;;;
2011/2012;76;Quarto Oggiaro - Vialba - Musocco;655;467;188;
2011/2012;77;Bovisa;421;283;138;
2011/2012;78;Farini;;;;
2011/2012;79;Dergano;428;267;161;
2011/2012;80;Affori;494;329;165;
2011/2012;81;Bovisasca;232;154;78;
2011/2012;82;Comasina;258;181;77;
2011/2012;83;Bruzzano;280;198;82;
2011/2012;84;Parco Nord;100;98;2;
2011/2012;85;Parco delle Abbazie;;;;
2011/2012;86;Parco dei Navigli;;;;
2011/2012;87;Assiano;;;;
2011/2012;88;Parco Bosco in citta';;;;
2012/2013;1;Duomo;426;382;44;
2012/2013;2;Brera;653;596;57;
2012/2013;3;Giardini P.ta Venezia;154;152;2;
2012/2013;4;Guastalla;436;409;27;
2012/2013;5;Porta Vigentina - Porta Lodovica;587;542;45;
2012/2013;6;Porta Ticinese - Conca del Naviglio;714;617;97;
2012/2013;7;Magenta - S.Vittore;729;674;55;
2012/2013;8;Parco Sempione;;;;
2012/2013;9;Porta Garibaldi - Porta Nuova;73;68;5;
2012/2013;10;Stazione Centrale - Ponte Seveso;241;210;31;
2012/2013;11;Isola;458;386;72;
2012/2013;12;Maciachini - Maggiolina;802;639;163;
2012/2013;13;Greco - Segnano;268;191;77;
2012/2013;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1119;902;217;
2012/2013;15;Bicocca;;;;
2012/2013;16;Gorla - Precotto;903;662;241;
2012/2013;17;Adriano;281;197;84;
2012/2013;18;Cimiano - Rottole - Q.re Feltre;631;482;149;
2012/2013;19;Padova - Turro - Crescenzago;592;424;168;
2012/2013;20;Loreto - Casoretto - NoLo;893;549;344;
2012/2013;21;Buenos Aires - Porta Venezia - Porta Monforte;1508;1310;198;
2012/2013;22;Citta' studi;716;632;84;
2012/2013;23;Lambrate - Ortica;430;363;67;
2012/2013;24;Parco Forlanini - Cavriano;;;;
2012/2013;25;Corsica;604;518;86;
2012/2013;26;XXII Marzo;774;669;105;
2012/2013;27;Pta Romana;78;78;0;
2012/2013;28;Umbria - Molise - Calvairate;322;263;59;
2012/2013;29;Ortomercato;145;59;86;
2012/2013;30;Taliedo - Morsenchio - Q.re Forlanini;444;358;86;
2012/2013;31;Monlue' - Ponte Lambro;98;57;41;
2012/2013;32;Triulzo Superiore;;;;
2012/2013;33;Rogoredo - Santa Giulia;226;178;48;
2012/2013;34;Chiaravalle;15;13;2;
2012/2013;35;Lodi - Corvetto;1181;900;281;
2012/2013;36;Scalo Romana;;;;
2012/2013;37;Morivione;113;90;23;
2012/2013;38;Vigentino - Q.re Fatima;415;344;71;
2012/2013;39;Quintosole;;;;
2012/2013;40;Ronchetto delle Rane;;;;
2012/2013;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;350;248;102;
2012/2013;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;745;571;174;
2012/2013;43;Tibaldi;205;205;0;
2012/2013;44;Porta Ticinese - Conchetta;314;266;48;
2012/2013;45;Moncucco - San Cristoforo;388;307;81;
2012/2013;46;Barona;253;184;69;
2012/2013;47;Cantalupa;;;;
2012/2013;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;348;275;73;
2012/2013;49;Giambellino;280;169;111;
2012/2013;50;Porta Genova;494;464;30;
2012/2013;51;Porta Magenta;399;366;33;
2012/2013;52;Bande Nere;1399;1142;257;
2012/2013;53;Lorenteggio;565;439;126;
2012/2013;54;Muggiano;21;17;4;
2012/2013;55;Baggio - Q.re degli Olmi - Q.re Valsesia;681;533;148;
2012/2013;56;Forze Armate;627;491;136;
2012/2013;57;San Siro;233;164;69;
2012/2013;58;De Angeli - Monte Rosa;314;295;19;
2012/2013;59;Tre Torri;;;;
2012/2013;60;Stadio - Ippodromi;872;608;264;
2012/2013;61;Quarto Cagnino;243;206;37;
2012/2013;62;Quinto Romano;79;63;16;
2012/2013;63;Figino;69;53;16;
2012/2013;64;Trenno;121;118;3;
2012/2013;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;591;525;66;
2012/2013;66;QT 8;224;203;21;
2012/2013;67;Portello;370;333;37;
2012/2013;68;Pagano;534;515;19;
2012/2013;69;Sarpi;695;576;119;
2012/2013;70;Ghisolfa;;;;
2012/2013;71;Villapizzone - Cagnola - Boldinasco;1176;777;399;
2012/2013;72;Maggiore - Musocco - Certosa;172;138;34;
2012/2013;73;Cascina Merlata;;;;
2012/2013;74;Roserio;;;;
2012/2013;75;Stephenson;;;;
2012/2013;76;Quarto Oggiaro - Vialba - Musocco;615;439;176;
2012/2013;77;Bovisa;452;284;168;
2012/2013;78;Farini;;;;
2012/2013;79;Dergano;441;297;144;
2012/2013;80;Affori;492;328;164;
2012/2013;81;Bovisasca;224;147;77;
2012/2013;82;Comasina;257;179;78;
2012/2013;83;Bruzzano;302;214;88;
2012/2013;84;Parco Nord;99;98;1;
2012/2013;85;Parco delle Abbazie;;;;
2012/2013;86;Parco dei Navigli;;;;
2012/2013;87;Assiano;;;;
2012/2013;88;Parco Bosco in citta';;;;
2013/2014;1;Duomo;425;410;15;
2013/2014;2;Brera;652;597;55;
2013/2014;3;Giardini P.ta Venezia;149;146;3;
2013/2014;4;Guastalla;409;399;10;
2013/2014;5;Porta Vigentina - Porta Lodovica;591;573;18;
2013/2014;6;Porta Ticinese - Conca del Naviglio;700;674;26;
2013/2014;7;Magenta - S.Vittore;721;682;39;
2013/2014;8;Parco Sempione;;;;
2013/2014;9;Porta Garibaldi - Porta Nuova;74;71;3;
2013/2014;10;Stazione Centrale - Ponte Seveso;236;233;3;
2013/2014;11;Isola;483;473;10;
2013/2014;12;Maciachini - Maggiolina;788;761;27;
2013/2014;13;Greco - Segnano;277;270;7;
2013/2014;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1122;1096;26;
2013/2014;15;Bicocca;;;;
2013/2014;16;Gorla - Precotto;884;866;18;
2013/2014;17;Adriano;292;286;6;
2013/2014;18;Cimiano - Rottole - Q.re Feltre;676;621;55;
2013/2014;19;Padova - Turro - Crescenzago;637;615;22;
2013/2014;20;Loreto - Casoretto - NoLo;855;811;44;
2013/2014;21;Buenos Aires - Porta Venezia - Porta Monforte;1488;1452;36;
2013/2014;22;Citta' studi;703;685;18;
2013/2014;23;Lambrate - Ortica;477;467;10;
2013/2014;24;Parco Forlanini - Cavriano;;;;
2013/2014;25;Corsica;586;562;24;
2013/2014;26;XXII Marzo;786;763;23;
2013/2014;27;Pta Romana;94;89;5;
2013/2014;28;Umbria - Molise - Calvairate;374;358;16;
2013/2014;29;Ortomercato;145;136;9;
2013/2014;30;Taliedo - Morsenchio - Q.re Forlanini;490;478;12;
2013/2014;31;Monlue' - Ponte Lambro;101;95;6;
2013/2014;32;Triulzo Superiore;;;;
2013/2014;33;Rogoredo - Santa Giulia;229;225;4;
2013/2014;34;Chiaravalle;24;23;1;
2013/2014;35;Lodi - Corvetto;1177;1121;56;
2013/2014;36;Scalo Romana;;;;
2013/2014;37;Morivione;171;160;11;
2013/2014;38;Vigentino - Q.re Fatima;437;426;11;
2013/2014;39;Quintosole;;;;
2013/2014;40;Ronchetto delle Rane;;;;
2013/2014;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;359;355;4;
2013/2014;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;744;727;17;
2013/2014;43;Tibaldi;183;181;2;
2013/2014;44;Porta Ticinese - Conchetta;313;306;7;
2013/2014;45;Moncucco - San Cristoforo;396;392;4;
2013/2014;46;Barona;236;231;5;
2013/2014;47;Cantalupa;;;;
2013/2014;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;329;325;4;
2013/2014;49;Giambellino;279;266;13;
2013/2014;50;Porta Genova;486;476;10;
2013/2014;51;Porta Magenta;385;365;20;
2013/2014;52;Bande Nere;1358;1293;65;
2013/2014;53;Lorenteggio;530;510;19;1
2013/2014;54;Muggiano;24;23;1;
2013/2014;55;Baggio - Q.re degli Olmi - Q.re Valsesia;663;641;22;
2013/2014;56;Forze Armate;627;613;14;
2013/2014;57;San Siro;216;207;9;
2013/2014;58;De Angeli - Monte Rosa;301;288;13;
2013/2014;59;Tre Torri;;;;
2013/2014;60;Stadio - Ippodromi;781;661;120;
2013/2014;61;Quarto Cagnino;250;243;7;
2013/2014;62;Quinto Romano;72;71;1;
2013/2014;63;Figino;60;54;6;
2013/2014;64;Trenno;104;103;1;
2013/2014;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;580;565;15;
2013/2014;66;QT 8;215;205;10;
2013/2014;67;Portello;360;357;3;
2013/2014;68;Pagano;521;502;19;
2013/2014;69;Sarpi;695;678;17;
2013/2014;70;Ghisolfa;;;;
2013/2014;71;Villapizzone - Cagnola - Boldinasco;1171;1129;42;
2013/2014;72;Maggiore - Musocco - Certosa;194;181;13;
2013/2014;73;Cascina Merlata;;;;
2013/2014;74;Roserio;;;;
2013/2014;75;Stephenson;;;;
2013/2014;76;Quarto Oggiaro - Vialba - Musocco;601;586;15;
2013/2014;77;Bovisa;444;421;23;
2013/2014;78;Farini;;;;
2013/2014;79;Dergano;438;418;20;
2013/2014;80;Affori;486;479;7;
2013/2014;81;Bovisasca;257;241;16;
2013/2014;82;Comasina;245;236;9;
2013/2014;83;Bruzzano;306;300;6;
2013/2014;84;Parco Nord;88;85;3;
2013/2014;85;Parco delle Abbazie;;;;
2013/2014;86;Parco dei Navigli;;;;
2013/2014;87;Assiano;;;;
2013/2014;88;Parco Bosco in citta';;;;
2014/2015;1;Duomo;384;352;31;1
2014/2015;2;Brera;637;590;47;
2014/2015;3;Giardini P.ta Venezia;153;149;4;
2014/2015;4;Guastalla;410;392;18;
2014/2015;5;Porta Vigentina - Porta Lodovica;577;521;52;4
2014/2015;6;Porta Ticinese - Conca del Naviglio;692;599;90;3
2014/2015;7;Magenta - S.Vittore;700;661;38;1
2014/2015;8;Parco Sempione;;;;
2014/2015;9;Porta Garibaldi - Porta Nuova;77;72;5;
2014/2015;10;Stazione Centrale - Ponte Seveso;237;214;22;1
2014/2015;11;Isola;468;415;52;1
2014/2015;12;Maciachini - Maggiolina;778;600;175;3
2014/2015;13;Greco - Segnano;288;196;91;1
2014/2015;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1110;904;205;1
2014/2015;15;Bicocca;;;;
2014/2015;16;Gorla - Precotto;948;675;266;7
2014/2015;17;Adriano;277;197;78;2
2014/2015;18;Cimiano - Rottole - Q.re Feltre;678;513;164;1
2014/2015;19;Padova - Turro - Crescenzago;639;421;218;
2014/2015;20;Loreto - Casoretto - NoLo;879;565;309;5
2014/2015;21;Buenos Aires - Porta Venezia - Porta Monforte;1276;1090;184;2
2014/2015;22;Citta' studi;848;781;65;2
2014/2015;23;Lambrate - Ortica;455;378;77;
2014/2015;24;Parco Forlanini - Cavriano;;;;
2014/2015;25;Corsica;546;462;81;3
2014/2015;26;XXII Marzo;760;685;75;
2014/2015;27;Pta Romana;88;88;;
2014/2015;28;Umbria - Molise - Calvairate;374;301;73;
2014/2015;29;Ortomercato;153;62;89;2
2014/2015;30;Taliedo - Morsenchio - Q.re Forlanini;498;375;121;2
2014/2015;31;Monlue' - Ponte Lambro;100;54;45;1
2014/2015;32;Triulzo Superiore;;;;
2014/2015;33;Rogoredo - Santa Giulia;229;181;47;1
2014/2015;34;Chiaravalle;25;20;5;
2014/2015;35;Lodi - Corvetto;1156;825;325;6
2014/2015;36;Scalo Romana;;;;
2014/2015;37;Morivione;179;154;23;2
2014/2015;38;Vigentino - Q.re Fatima;439;345;93;1
2014/2015;39;Quintosole;;;;
2014/2015;40;Ronchetto delle Rane;;;;
2014/2015;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;324;224;98;2
2014/2015;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;734;547;182;5
2014/2015;43;Tibaldi;174;173;1;
2014/2015;44;Porta Ticinese - Conchetta;322;293;28;1
2014/2015;45;Moncucco - San Cristoforo;406;333;71;2
2014/2015;46;Barona;241;184;56;1
2014/2015;47;Cantalupa;;;;
2014/2015;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;330;259;71;
2014/2015;49;Giambellino;285;166;118;1
2014/2015;50;Porta Genova;482;442;40;
2014/2015;51;Porta Magenta;391;362;26;3
2014/2015;52;Bande Nere;1374;1069;297;8
2014/2015;53;Lorenteggio;532;405;127;
2014/2015;54;Muggiano;21;16;3;2
2014/2015;55;Baggio - Q.re degli Olmi - Q.re Valsesia;669;527;141;1
2014/2015;56;Forze Armate;622;493;128;1
2014/2015;57;San Siro;199;148;51;
2014/2015;58;De Angeli - Monte Rosa;281;262;19;
2014/2015;59;Tre Torri;;;;
2014/2015;60;Stadio - Ippodromi;820;494;324;2
2014/2015;61;Quarto Cagnino;243;218;25;
2014/2015;62;Quinto Romano;80;68;12;
2014/2015;63;Figino;52;39;13;
2014/2015;64;Trenno;103;99;4;
2014/2015;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;559;471;85;3
2014/2015;66;QT 8;225;207;18;
2014/2015;67;Portello;351;318;33;
2014/2015;68;Pagano;506;478;27;1
2014/2015;69;Sarpi;746;618;127;1
2014/2015;70;Ghisolfa;;;;
2014/2015;71;Villapizzone - Cagnola - Boldinasco;1155;749;401;5
2014/2015;72;Maggiore - Musocco - Certosa;182;144;38;
2014/2015;73;Cascina Merlata;;;;
2014/2015;74;Roserio;;;;
2014/2015;75;Stephenson;;;;
2014/2015;76;Quarto Oggiaro - Vialba - Musocco;595;404;191;
2014/2015;77;Bovisa;447;276;170;1
2014/2015;78;Farini;;;;
2014/2015;79;Dergano;455;295;157;3
2014/2015;80;Affori;539;335;201;3
2014/2015;81;Bovisasca;252;160;92;
2014/2015;82;Comasina;238;161;77;
2014/2015;83;Bruzzano;309;239;67;3
2014/2015;84;Parco Nord;78;77;1;
2014/2015;85;Parco delle Abbazie;;;;
2014/2015;86;Parco dei Navigli;;;;
2014/2015;87;Assiano;;;;
2014/2015;88;Parco Bosco in citta';;;;
2015/2016;1;Duomo;329;300;28;1
2015/2016;2;Brera;556;520;35;1
2015/2016;3;Giardini P.ta Venezia;148;143;5;
2015/2016;4;Guastalla;402;388;14;
2015/2016;5;Porta Vigentina - Porta Lodovica;551;499;50;2
2015/2016;6;Porta Ticinese - Conca del Naviglio;722;624;95;3
2015/2016;7;Magenta - S.Vittore;691;662;28;1
2015/2016;8;Parco Sempione;;;;
2015/2016;9;Porta Garibaldi - Porta Nuova;77;73;4;
2015/2016;10;Stazione Centrale - Ponte Seveso;234;213;20;1
2015/2016;11;Isola;446;404;41;1
2015/2016;12;Maciachini - Maggiolina;765;585;177;3
2015/2016;13;Greco - Segnano;290;195;94;1
2015/2016;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1101;919;178;4
2015/2016;15;Bicocca;;;;
2015/2016;16;Gorla - Precotto;848;612;231;5
2015/2016;17;Adriano;345;243;97;5
2015/2016;18;Cimiano - Rottole - Q.re Feltre;648;490;156;2
2015/2016;19;Padova - Turro - Crescenzago;584;388;196;
2015/2016;20;Loreto - Casoretto - NoLo;874;557;310;7
2015/2016;21;Buenos Aires - Porta Venezia - Porta Monforte;1227;1086;136;5
2015/2016;22;Citta' studi;835;766;64;5
2015/2016;23;Lambrate - Ortica;480;412;68;
2015/2016;24;Parco Forlanini - Cavriano;;;;
2015/2016;25;Corsica;572;492;79;1
2015/2016;26;XXII Marzo;753;676;76;1
2015/2016;27;Pta Romana;101;99;2;
2015/2016;28;Umbria - Molise - Calvairate;371;282;88;1
2015/2016;29;Ortomercato;145;67;76;2
2015/2016;30;Taliedo - Morsenchio - Q.re Forlanini;490;383;103;4
2015/2016;31;Monlue' - Ponte Lambro;98;55;43;
2015/2016;32;Triulzo Superiore;;;;
2015/2016;33;Rogoredo - Santa Giulia;225;186;37;2
2015/2016;34;Chiaravalle;24;19;5;
2015/2016;35;Lodi - Corvetto;1149;810;328;11
2015/2016;36;Scalo Romana;;;;
2015/2016;37;Morivione;166;144;18;4
2015/2016;38;Vigentino - Q.re Fatima;431;350;79;2
2015/2016;39;Quintosole;;;;
2015/2016;40;Ronchetto delle Rane;;;;
2015/2016;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;318;232;83;3
2015/2016;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;709;523;179;7
2015/2016;43;Tibaldi;194;190;3;1
2015/2016;44;Porta Ticinese - Conchetta;313;285;27;1
2015/2016;45;Moncucco - San Cristoforo;317;259;56;2
2015/2016;46;Barona;228;169;58;1
2015/2016;47;Cantalupa;;;;
2015/2016;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;336;261;73;2
2015/2016;49;Giambellino;272;156;115;1
2015/2016;50;Porta Genova;470;429;39;2
2015/2016;51;Porta Magenta;369;346;21;2
2015/2016;52;Bande Nere;1319;1032;280;7
2015/2016;53;Lorenteggio;529;400;127;2
2015/2016;54;Muggiano;23;18;5;
2015/2016;55;Baggio - Q.re degli Olmi - Q.re Valsesia;643;509;131;3
2015/2016;56;Forze Armate;618;497;120;1
2015/2016;57;San Siro;201;132;69;
2015/2016;58;De Angeli - Monte Rosa;275;259;16;
2015/2016;59;Tre Torri;;;;
2015/2016;60;Stadio - Ippodromi;761;482;275;4
2015/2016;61;Quarto Cagnino;234;210;24;
2015/2016;62;Quinto Romano;79;74;5;
2015/2016;63;Figino;56;46;10;
2015/2016;64;Trenno;95;89;6;
2015/2016;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;556;469;85;2
2015/2016;66;QT 8;226;206;20;
2015/2016;67;Portello;301;270;31;
2015/2016;68;Pagano;488;460;27;1
2015/2016;69;Sarpi;730;595;133;2
2015/2016;70;Ghisolfa;;;;
2015/2016;71;Villapizzone - Cagnola - Boldinasco;1131;710;412;9
2015/2016;72;Maggiore - Musocco - Certosa;177;140;37;
2015/2016;73;Cascina Merlata;;;;
2015/2016;74;Roserio;;;;
2015/2016;75;Stephenson;;;;
2015/2016;76;Quarto Oggiaro - Vialba - Musocco;565;379;186;
2015/2016;77;Bovisa;429;271;157;1
2015/2016;78;Farini;;;;
2015/2016;79;Dergano;428;279;146;3
2015/2016;80;Affori;533;350;178;5
2015/2016;81;Bovisasca;239;150;89;
2015/2016;82;Comasina;229;156;73;
2015/2016;83;Bruzzano;298;226;69;3
2015/2016;84;Parco Nord;64;62;2;
2015/2016;85;Parco delle Abbazie;;;;
2015/2016;86;Parco dei Navigli;;;;
2015/2016;87;Assiano;;;;
2015/2016;88;Parco Bosco in citta';;;;
2016/2017;1;Duomo;306;280;25;1
2016/2017;2;Brera;574;531;42;1
2016/2017;3;Giardini P.ta Venezia;148;143;5;
2016/2017;4;Guastalla;442;417;25;
2016/2017;5;Porta Vigentina - Porta Lodovica;533;479;51;3
2016/2017;6;Porta Ticinese - Conca del Naviglio;704;604;96;4
2016/2017;7;Magenta - S.Vittore;684;637;45;2
2016/2017;8;Parco Sempione;;;;
2016/2017;9;Porta Garibaldi - Porta Nuova;75;70;5;
2016/2017;10;Stazione Centrale - Ponte Seveso;239;212;26;1
2016/2017;11;Isola;502;445;57;
2016/2017;12;Maciachini - Maggiolina;739;573;164;2
2016/2017;13;Greco - Segnano;277;181;95;1
2016/2017;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1070;862;203;5
2016/2017;15;Bicocca;;;;
2016/2017;16;Gorla - Precotto;839;609;228;2
2016/2017;17;Adriano;373;263;105;5
2016/2017;18;Cimiano - Rottole - Q.re Feltre;648;466;177;5
2016/2017;19;Padova - Turro - Crescenzago;565;361;203;1
2016/2017;20;Loreto - Casoretto - NoLo;857;497;355;5
2016/2017;21;Buenos Aires - Porta Venezia - Porta Monforte;1214;1062;147;5
2016/2017;22;Citta' studi;802;727;72;3
2016/2017;23;Lambrate - Ortica;460;400;60;
2016/2017;24;Parco Forlanini - Cavriano;;;;
2016/2017;25;Corsica;543;435;107;1
2016/2017;26;XXII Marzo;757;655;102;
2016/2017;27;Pta Romana;72;68;4;
2016/2017;28;Umbria - Molise - Calvairate;368;271;94;3
2016/2017;29;Ortomercato;148;62;84;2
2016/2017;30;Taliedo - Morsenchio - Q.re Forlanini;477;369;105;3
2016/2017;31;Monlue' - Ponte Lambro;95;49;46;
2016/2017;32;Triulzo Superiore;;;;
2016/2017;33;Rogoredo - Santa Giulia;227;182;44;1
2016/2017;34;Chiaravalle;17;11;6;
2016/2017;35;Lodi - Corvetto;1143;786;346;11
2016/2017;36;Scalo Romana;;;;
2016/2017;37;Morivione;153;129;22;2
2016/2017;38;Vigentino - Q.re Fatima;425;340;84;1
2016/2017;39;Quintosole;;;;
2016/2017;40;Ronchetto delle Rane;;;;
2016/2017;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;319;227;89;3
2016/2017;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;684;503;175;6
2016/2017;43;Tibaldi;191;187;3;1
