id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;fine_lavor;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
734;"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"25";9.20508451185775;45.4743514598858;"(45.474351459885824, 9.205084511857752)"
735;"2275";VIA PADOVA;;ciclabile;ciclabile segnaletica;marciapiede;bidirezionale;corsia ciclabile;"2006";"61";9.21908674790702;45.4878492440596;"(45.48784924405958, 9.21908674790702)"
736;"2275";VIA PADOVA;;ciclabile;ciclabile segnaletica;marciapiede;bidirezionale;corsia ciclabile;"2006";"27";9.21947337413756;45.4881396401357;"(45.488139640135685, 9.21947337413756)"
737;"357";VIA DONNA PRASSEDE;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2009";"7";9.10679207250693;45.4795225674618;"(45.47952256746181, 9.106792072506927)"
738;;AREA VERDE DI VIA GIOVANNI FATTORI;;ciclabile;ciclabile sede propria;parco o area verde;bidirezionale;non regolamentato;"2006";"119";9.13507949908076;45.5079304128996;"(45.50793041289962, 9.135079499080758)"
740;;PONTE VIA BERTELLI - VIA LISCATE;;urbana;promiscuo pedoni;passerella;bidirezionale;non regolamentato;"2000";"57";9.2322230683384;45.5038585251552;"(45.50385852515516, 9.232223068338396)"
742;"2414";VIA IDRO;;urbana;promiscuo veicoli;carreggiata;bidirezionale;percorso promiscuo - pedonale e ciclabile;"2010";"141";9.25397527313346;45.5134571410479;"(45.51345714104789, 9.253975273133461)"
743;"2358";VIA LUIGI BERTELLI;;urbana;promiscuo pedoni;carreggiata;bidirezionale;percorso promiscuo - pedonale e ciclabile;"1991";"88";9.22853172674422;45.503427806769;"(45.50342780676903, 9.228531726744217)"
744;"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"1999";"5";9.2075664180559;45.4952230404024;"(45.49522304040238, 9.207566418055896)"
746;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"2011";"28";9.19999616599062;45.4815703979354;"(45.4815703979354, 9.199996165990617)"
747;"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile segnaletica;marciapiede;bidirezionale;corsia ciclabile;"1999";"19";9.20829175869773;45.4970008218783;"(45.49700082187831, 9.208291758697726)"
748;"7309";VIA EUGENIO DONADONI;;verde;promiscuo pedoni;parco o area verde;bidirezionale;non regolamentato - parco o area verde;"1995";"285";9.11971319585778;45.4918564006353;"(45.49185640063527, 9.119713195857782)"
749;"1088";VIALE ENRICO FERMI;;ciclabile;ciclabile sede propria;margine;bidirezionale;corsia ciclabile;"2009";"138";9.17906536440813;45.513455164412;"(45.513455164411994, 9.179065364408133)"
750;;PARCO DON GIUSSANI;;verde;promiscuo pedoni;parco o area verde;bidirezionale;non regolamentato - parco o area verde;"2010";"378";9.16645609643437;45.4580974822381;"(45.458097482238095, 9.166456096434374)"
752;"6108";VIA GIUSEPPE DEZZA;;ciclabile;ciclabile sede propria;parterre;monodirezionale - concorde;corsia ciclabile;"1989";"91";9.16228534274437;45.4598448852496;"(45.45984488524956, 9.162285342744374)"
753;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2011";"33";9.20235621307612;45.4839330075724;"(45.4839330075724, 9.202356213076122)"
756;"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"2011";"12";9.20285512228749;45.4750076668619;"(45.475007666861934, 9.202855122287492)"
763;"7478";VIA GIACOMO QUARENGHI;;urbana;promiscuo pedoni;margine;bidirezionale;percorso promiscuo - pedonale e ciclabile;"2008";"147";9.12056854677195;45.4953563363284;"(45.495356336328406, 9.120568546771953)"
764;"1067";PIAZZA PAOLO VI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - discorde;attraversamento - ciclabile;"2000";"9";9.18506406245237;45.4735182683533;"(45.47351826835329, 9.18506406245237)"
765;"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"2010";"39";9.17603107615423;45.4667112575909;"(45.46671125759087, 9.176031076154231)"
