id_area;municipio;area;località;obj_id;codice;descrizione_codice;data_ini;area_mq;perim_m;LONG_X_4326;LAT_Y_4326;Location
2_036;2;036;vie Giacometti - Gilardi - Breda;43545;S327554;Area fruizione cani;2003/05/29;365.56416356296;114.726890727349;9.2205237847;45.5139865205;"(45.5139865205, 9.2205237847)"
2_036;2;036;vie Giacometti - Gilardi - Breda;46948;S327554;Area fruizione cani;2009/07/01;927.654759374837;129.270228777933;9.2185587307;45.5140638476;"(45.5140638476, 9.2185587307)"
2_011;2;011;vie Dal Pozzo Toscanelli - Rottole;50632;S327554;Area fruizione cani;2010/10/04;514.925300000962;117.532810695231;9.2427807233;45.5035126585;"(45.5035126585, 9.2427807233)"
2_043;2;043;via Giacosa;138680;S327554;Area fruizione cani;2017/12/27;465.435962577212;136.138839261986;9.2223217827;45.493523628;"(45.493523628, 9.2223217827)"
2_258;2;258;giardino Franca Rame;118817;S327554;Area fruizione cani;2014/05/17;1459.40605560094;175.863674764704;9.2389041522;45.5159906964;"(45.5159906964, 9.2389041522)"
2_057;2;057;via Cislaghi;171901;S327554;Area fruizione cani;2022/04/22;763.576100824499;124.246833772425;9.2281339279;45.5136353797;"(45.5136353797, 9.2281339279)"
2_013;2;013;parco Panza;131336;S327554;Area fruizione cani;2016/12/28;3788.19536315361;278.383119443289;9.2233540188;45.5219512419;"(45.5219512419, 9.2233540188)"
2_221;2;221;vie Breda - Angeleri;138679;S327554;Area fruizione cani;2017/10/16;628.143086404896;124.557380546304;9.2130631066;45.5101446849;"(45.5101446849, 9.2130631066)"
2_001;2;001;vie Trasimeno - San Mamete;138683;S327554;Area fruizione cani;2017/10/09;863.404636222768;135.500961490581;9.2524473854;45.5129734565;"(45.5129734565, 9.2524473854)"
2_049;2;049;via Rucellai;122426;S327554;Area fruizione cani;2015/06/03;361.977430304349;90.8369985345092;9.2170714865;45.5117539571;"(45.5117539571, 9.2170714865)"
2_030;2;030;vie Mariani Pompeo - Padre Semeria;166290;S327554;Area fruizione cani;2019/05/17;864.95778074181;121.568526400444;9.230916801;45.5115857524;"(45.5115857524, 9.230916801)"
2_030;2;030;vie Mariani Pompeo - Padre Semeria;166291;S327554;Area fruizione cani;2019/05/17;623.246619827988;105.483374712969;9.2308301412;45.5118153124;"(45.5118153124, 9.2308301412)"
2_120;2;120;largo San Valentino;46952;S327554;Area fruizione cani;2009/07/01;567.485879291053;86.8793450562225;9.2129810608;45.4967820341;"(45.4967820341, 9.2129810608)"
2_272;2;272;via Mulas;141057;S327554;Area fruizione cani;2019/05/25;1726.42489093293;167.290998622934;9.2406744722;45.5187095374;"(45.5187095374, 9.2406744722)"
2_027;2;027;parco Francesco Di Cataldo;25477;S327554;Area fruizione cani;2003/08/01;1065.53410004051;277.95161710088;9.2331661478;45.5127884882;"(45.5127884882, 9.2331661478)"
2_027;2;027;parco Francesco Di Cataldo;25478;S327554;Area fruizione cani;2003/08/01;2401.27524999375;190.753076343365;9.2332669082;45.5143547236;"(45.5143547236, 9.2332669082)"
2_126;2;126;giardino Aldo Protti e Gregor Mendel;25495;S327554;Area fruizione cani;2003/08/01;943.183100006758;122.074675229881;9.1960072035;45.4883393008;"(45.4883393008, 9.1960072035)"
2_126;2;126;giardino Aldo Protti e Gregor Mendel;130784;S327554;Area fruizione cani;2016/10/06;673.671761090143;146.479789726271;9.1977314768;45.4904434835;"(45.4904434835, 9.1977314768)"
2_231;2;231;viale Monza;166292;S327554;Area fruizione cani;2016/04/27;601.217382286548;97.7795233758862;9.2228601326;45.5080521695;"(45.5080521695, 9.2228601326)"
2_231;2;231;viale Monza;166293;S327554;Area fruizione cani;2016/04/27;410.202109529414;90.0125377274237;9.222658482;45.5080565319;"(45.5080565319, 9.222658482)"
2_167;2;167;giardino Gabriele Basilico;25304;S327554;Area fruizione cani;2003/08/01;555.935599998234;118.915950906723;9.2105540222;45.4870732495;"(45.4870732495, 9.2105540222)"
2_285;2;285;vie Rho - Conti Carlo;175388;S327554;Area fruizione cani;2023/10/03;1085.673962771;158.583741551979;9.215223885;45.4998475771;"(45.4998475771, 9.215223885)"
2_204;2;204;parco Adriano;47472;S327554;Area fruizione cani;2009/07/01;1146.58389923621;147.702017717163;9.2486687597;45.5185246873;"(45.5185246873, 9.2486687597)"
2_204;2;204;parco Adriano;48565;S327554;Area fruizione cani;2009/07/02;4709.62676004903;268.336076353313;9.2540068132;45.515996755;"(45.515996755, 9.2540068132)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;114897;S327554;Area fruizione cani;2013/05/14;2537.59942159656;251.104915462616;9.2344970933;45.5041471625;"(45.5041471625, 9.2344970933)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;123592;S327554;Area fruizione cani;2015/09/30;2601.70090070243;288.014770019454;9.2295944674;45.503016638;"(45.503016638, 9.2295944674)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;123591;S327554;Area fruizione cani;2015/09/30;3529.61115069818;246.715236790258;9.232757191;45.5021779699;"(45.5021779699, 9.232757191)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;25382;S327554;Area fruizione cani;2003/07/23;481.951049996103;100.894671370548;9.2354695293;45.5044061134;"(45.5044061134, 9.2354695293)"
2_282;2;282;giardino Sandra Mondaini e Raimondo Vianello;174251;S327554;Area fruizione cani;2023/04/11;1414.62377257993;154.538366757447;9.23578867;45.5161904105;"(45.5161904105, 9.23578867)"
2_033;2;033;vie Petrocchi - Bertelli;167079;S327554;Area fruizione cani;2016/03/21;1532.43765489029;188.02727578649;9.2285071746;45.5033003909;"(45.5033003909, 9.2285071746)"
2_061;2;061;parco Villa Finzi;174719;S327554;Area fruizione cani;2023/07/07;1634.02072266635;162.036944823931;9.2196833301;45.5039146035;"(45.5039146035, 9.2196833301)"
3_050;3;050;giardino Polotti Giulio;25314;S327554;Area fruizione cani;2005/05/20;860.263852601593;115.159030029413;9.2207715101;45.48393413;"(45.48393413, 9.2207715101)"
3_050;3;050;giardino Polotti Giulio;25398;S327554;Area fruizione cani;2005/05/20;975.298550008393;144.337415691395;9.2196840504;45.4835896594;"(45.4835896594, 9.2196840504)"
3_050;3;050;giardino Polotti Giulio;25397;S327554;Area fruizione cani;2005/05/20;147.444249995284;66.2327598075365;9.219776614;45.4837730262;"(45.4837730262, 9.219776614)"
3_050;3;050;giardino Polotti Giulio;25371;S327554;Area fruizione cani;2005/05/20;226.668350002388;89.4478982924492;9.2194700478;45.4839445403;"(45.4839445403, 9.2194700478)"
3_186;3;186;giardini Giovanni Falcone e Paolo Borsellino;25481;S327554;Area fruizione cani;2003/07/15;505.472950006789;94.8375801748314;9.2077172055;45.4805559744;"(45.4805559744, 9.2077172055)"
3_121;3;121;via Pitteri;130905;S327554;Area fruizione cani;2016/09/30;519.699059774196;105.718405500696;9.2478736584;45.4747871198;"(45.4747871198, 9.2478736584)"
3_006;3;006;giardino Ramelli Sergio;25387;S327554;Area fruizione cani;2003/07/14;396.205649999641;101.060555912582;9.2209789723;45.476026741;"(45.476026741, 9.2209789723)"
3_006;3;006;giardino Ramelli Sergio;172119;S327554;Area fruizione cani;2022/07/11;522.304004377918;126.986537211511;9.2207933791;45.4762219654;"(45.4762219654, 9.2207933791)"
3_191;3;191;giardino Alberto Vigevani;120572;S327554;Area fruizione cani;2015/02/03;342.367145008317;74.2472172896249;9.2168640227;45.4679210578;"(45.4679210578, 9.2168640227)"
3_143;3;143;via Feltre;47492;S327554;Area fruizione cani;2009/08/31;1493.99839151717;172.680099440524;9.2479952502;45.4912342552;"(45.4912342552, 9.2479952502)"
3_048;3;048;viale Argonne;173164;S327554;Area fruizione cani;2022/11/24;470.031497435875;149.526559457285;9.2309241563;45.4679728569;"(45.4679728569, 9.2309241563)"
3_048;3;048;viale Argonne;173163;S327554;Area fruizione cani;2022/11/24;416.247132365844;127.359488788522;9.2256441386;45.4679353522;"(45.4679353522, 9.2256441386)"
3_048;3;048;viale Argonne;173162;S327554;Area fruizione cani;2022/11/24;612.074196829433;174.707833617999;9.2263115744;45.4680799631;"(45.4680799631, 9.2263115744)"
3_048;3;048;viale Argonne;173152;S327554;Area fruizione cani;2022/11/24;442.323431519957;150.970622860007;9.2290895371;45.4679568766;"(45.4679568766, 9.2290895371)"
3_166;3;166;via Rizzoli;51085;S327554;Area fruizione cani;2010/10/21;4340.31057935896;290.665464611946;9.2577058068;45.5102270089;"(45.5102270089, 9.2577058068)"
3_192;3;192;giardino Italo Pietra;174439;S327554;Area fruizione cani;2023/06/08;479.165980467677;96.0229373160888;9.2129564898;45.4678429444;"(45.4678429444, 9.2129564898)"
3_016;3;016;via Marescalchi - San Gerolamo;116282;S327554;Area fruizione cani;2013/11/29;798.995470536993;121.044206294812;9.2371985578;45.4696275953;"(45.4696275953, 9.2371985578)"
3_047;3;047;giardino Buonantuono Carlo e Tumminello Vincenzo;172364;S327554;Area fruizione cani;2022/07/29;405.608458774395;87.6363718351144;9.2345426876;45.4858090691;"(45.4858090691, 9.2345426876)"
3_003;3;003;giardino Teresa Pomodoro;170935;S327554;Area fruizione cani;2021/11/25;916.782443103045;123.086011776234;9.223853476;45.4805872413;"(45.4805872413, 9.223853476)"
3_003;3;003;giardino Teresa Pomodoro;170936;S327554;Area fruizione cani;2021/11/25;1900.32521541134;182.793709794181;9.223952556;45.4801841133;"(45.4801841133, 9.223952556)"
3_112;3;112;giardino Marisa Bellisario;25372;S327554;Area fruizione cani;2003/07/24;2351.6138999876;193.54945510893;9.2379902542;45.4896897774;"(45.4896897774, 9.2379902542)"
3_027;3;027;giardino Fausto Tinelli e Lorenzo Iannucci;48849;S327554;Area fruizione cani;2010/03/18;427.501794961582;85.7526379083786;9.2231192111;45.488885281;"(45.488885281, 9.2231192111)"
3_234;3;234;via Olgettina;55497;S327554;Area fruizione cani;2008/08/04;868.979103039356;124.154950951776;9.2734282251;45.5051909823;"(45.5051909823, 9.2734282251)"
3_103;3;103;vie Cima - Bistolfi;172584;S327554;Area fruizione cani;2021/01/27;251.950111997038;100.464084908976;9.2437594593;45.4720841869;"(45.4720841869, 9.2437594593)"
3_103;3;103;vie Cima - Bistolfi;172583;S327554;Area fruizione cani;2021/01/27;180.806628256392;72.7010859902459;9.2442960542;45.4719805654;"(45.4719805654, 9.2442960542)"
3_215;3;215;parco della Lambretta;25345;S327554;Area fruizione cani;2013/04/28;413.868276672138;103.867718011471;9.2535463715;45.4789753283;"(45.4789753283, 9.2535463715)"
3_215;3;215;parco della Lambretta;25346;S327554;Area fruizione cani;2013/04/28;2801.15628252669;350.583917524421;9.2517085549;45.4790386477;"(45.4790386477, 9.2517085549)"
3_198;3;198;piazzale Bacone;25473;S327554;Area fruizione cani;2013/10/25;580.375174720352;90.8035880718591;9.2142814121;45.4801915628;"(45.4801915628, 9.2142814121)"
3_142;3;142;via Don Calabria n. 6;113197;S327554;Area fruizione cani;2012/06/30;335.307554610779;100.334450832425;9.2438513205;45.5017794408;"(45.5017794408, 9.2438513205)"
3_020;3;020;vie Pascal - Valvassori Peroni - Clericetti;53249;S327554;Area fruizione cani;2011/05/23;697.582447215634;124.557772115901;9.2361054086;45.4787237854;"(45.4787237854, 9.2361054086)"
3_126;3;126;via Rizzoli;123556;S327554;Area fruizione cani;2015/07/31;830.419700964686;117.209077794573;9.2497814211;45.5054677637;"(45.5054677637, 9.2497814211)"
3_107;3;107;cavalcavia Buccari - via Tucidide;46954;S327554;Area fruizione cani;2009/07/01;1057.16697473455;142.529600493943;9.2434472417;45.4696580963;"(45.4696580963, 9.2434472417)"
3_185;3;185;via Morgagni G.B.;25383;S327554;Area fruizione cani;2003/09/02;451.657149997967;89.0746698539734;9.2117746775;45.4776975034;"(45.4776975034, 9.2117746775)"
3_271;3;271;giardino sorelle Mirabal ‘’Las Mariposas’’;176222;S327554;Area fruizione cani;2024/05/01;829.648163795562;116.787571776576;9.2414799553;45.474009561;"(45.474009561, 9.2414799553)"
3_034;3;034;piazzale Susa;129474;S327554;Area fruizione cani;2016/04/07;1183.80632113473;164.72336642918;9.2243319979;45.468204162;"(45.468204162, 9.2243319979)"
3_034;3;034;piazzale Susa;129476;S327554;Area fruizione cani;2016/04/07;863.578514412519;225.109078335297;9.2233778897;45.4680451184;"(45.4680451184, 9.2233778897)"
3_034;3;034;piazzale Susa;129472;S327554;Area fruizione cani;2016/04/07;861.676337354273;169.932071693634;9.2244576859;45.4684374677;"(45.4684374677, 9.2244576859)"
3_120;3;120;via Pini;119995;S327554;Area fruizione cani;2014/11/04;932.907663270138;124.063895694095;9.2403129716;45.4858639887;"(45.4858639887, 9.2403129716)"
