Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2021/2022;58;De Angeli - Monte Rosa;1127;944;183;
2021/2022;59;Tre Torri;;;;
2021/2022;60;Stadio - Ippodromi;587;317;270;
2021/2022;61;Quarto Cagnino;471;365;106;
2021/2022;62;Quinto Romano;;;;
2021/2022;63;Figino;36;28;8;
2021/2022;64;Trenno;;;;
2021/2022;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;890;735;154;1
2021/2022;66;QT 8;298;273;25;
2021/2022;67;Portello;118;100;18;
2021/2022;68;Pagano;811;759;52;
2021/2022;69;Sarpi;745;589;156;
2021/2022;70;Ghisolfa;166;162;4;
2021/2022;71;Villapizzone - Cagnola - Boldinasco;1022;551;470;1
2021/2022;72;Maggiore - Musocco - Certosa;157;116;41;
2021/2022;73;Cascina Merlata;;;;
2021/2022;74;Roserio;;;;
2021/2022;75;Stephenson;;;;
2021/2022;76;Quarto Oggiaro - Vialba - Musocco;598;384;213;1
2021/2022;77;Bovisa;143;138;5;
2021/2022;78;Farini;;;;
2021/2022;79;Dergano;972;655;317;
2021/2022;80;Affori;659;376;283;
2021/2022;81;Bovisasca;137;93;44;
2021/2022;82;Comasina;250;177;73;
2021/2022;83;Bruzzano;330;236;94;
2021/2022;84;Parco Nord;51;46;5;
2021/2022;85;Parco delle Abbazie;;;;
2021/2022;86;Parco dei Navigli;;;;
2021/2022;87;Assiano;;;;
2021/2022;88;Parco Bosco in citta';;;;
2005/2006;1;Duomo;839;735;104;
2005/2006;2;Brera;588;526;62;
2005/2006;3;Giardini P.ta Venezia;;;;
2005/2006;4;Guastalla;1688;1594;94;
2005/2006;5;Porta Vigentina - Porta Lodovica;453;400;53;
2005/2006;6;Porta Ticinese - Conca del Naviglio;384;278;106;
2005/2006;7;Magenta - S.Vittore;798;737;61;
2005/2006;8;Parco Sempione;;;;
2005/2006;9;Porta Garibaldi - Porta Nuova;;;;
2005/2006;10;Stazione Centrale - Ponte Seveso;611;565;46;
2005/2006;11;Isola;279;226;53;
2005/2006;12;Maciachini - Maggiolina;713;586;126;1
2005/2006;13;Greco - Segnano;524;399;123;2
2005/2006;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;629;554;75;
2005/2006;15;Bicocca;;;;
2005/2006;16;Gorla - Precotto;522;348;174;
2005/2006;17;Adriano;;;;
2005/2006;18;Cimiano - Rottole - Q.re Feltre;847;662;185;
2005/2006;19;Padova - Turro - Crescenzago;430;345;85;
2005/2006;20;Loreto - Casoretto - NoLo;1352;1017;335;
2005/2006;21;Buenos Aires - Porta Venezia - Porta Monforte;1388;1172;214;2
2005/2006;22;Citta' studi;762;688;74;
2005/2006;23;Lambrate - Ortica;316;312;4;
2005/2006;24;Parco Forlanini - Cavriano;;;;
2005/2006;25;Corsica;397;281;116;
2005/2006;26;XXII Marzo;546;457;89;
2005/2006;27;Pta Romana;65;60;5;
2005/2006;28;Umbria - Molise - Calvairate;179;93;86;
2005/2006;29;Ortomercato;;;;
2005/2006;30;Taliedo - Morsenchio - Q.re Forlanini;336;246;90;
2005/2006;31;Monlue' - Ponte Lambro;;;;
2005/2006;32;Triulzo Superiore;;;;
2005/2006;33;Rogoredo - Santa Giulia;145;118;27;
2005/2006;34;Chiaravalle;;;;
2005/2006;35;Lodi - Corvetto;906;663;243;
2005/2006;36;Scalo Romana;;;;
2005/2006;37;Morivione;261;207;54;
2005/2006;38;Vigentino - Q.re Fatima;203;176;27;
2005/2006;39;Quintosole;;;;
2005/2006;40;Ronchetto delle Rane;;;;
2005/2006;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;502;424;78;
2005/2006;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;550;458;92;
2005/2006;43;Tibaldi;119;116;3;
2005/2006;44;Porta Ticinese - Conchetta;;;;
2005/2006;45;Moncucco - San Cristoforo;123;89;33;1
2005/2006;46;Barona;299;262;37;
2005/2006;47;Cantalupa;;;;
2005/2006;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;428;370;58;
2005/2006;49;Giambellino;443;405;38;
2005/2006;50;Porta Genova;;;;
2005/2006;51;Porta Magenta;1123;1047;76;
2005/2006;52;Bande Nere;1667;1468;198;1
2005/2006;53;Lorenteggio;563;452;111;
2005/2006;54;Muggiano;;;;
2005/2006;55;Baggio - Q.re degli Olmi - Q.re Valsesia;498;416;81;1
2005/2006;56;Forze Armate;444;376;68;
2005/2006;57;San Siro;194;143;51;
2005/2006;58;De Angeli - Monte Rosa;1096;924;172;
2005/2006;59;Tre Torri;;;;
2005/2006;60;Stadio - Ippodromi;618;429;189;
2005/2006;61;Quarto Cagnino;237;202;35;
2005/2006;62;Quinto Romano;;;;
2005/2006;63;Figino;60;60;;
2005/2006;64;Trenno;;;;
2005/2006;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;769;704;65;
2005/2006;66;QT 8;188;171;17;
2005/2006;67;Portello;54;7;47;
2005/2006;68;Pagano;773;741;32;
2005/2006;69;Sarpi;611;492;119;
2005/2006;70;Ghisolfa;;;;
2005/2006;71;Villapizzone - Cagnola - Boldinasco;751;480;271;
2005/2006;72;Maggiore - Musocco - Certosa;114;81;33;
2005/2006;73;Cascina Merlata;;;;
2005/2006;74;Roserio;;;;
2005/2006;75;Stephenson;;;;
2005/2006;76;Quarto Oggiaro - Vialba - Musocco;686;585;101;
2005/2006;77;Bovisa;109;107;2;
2005/2006;78;Farini;;;;
2005/2006;79;Dergano;831;591;240;
2005/2006;80;Affori;581;430;151;
2005/2006;81;Bovisasca;233;176;57;
2005/2006;82;Comasina;162;154;8;
2005/2006;83;Bruzzano;229;171;58;
2005/2006;84;Parco Nord;;;;
2005/2006;85;Parco delle Abbazie;;;;
2005/2006;86;Parco dei Navigli;;;;
2005/2006;87;Assiano;;;;
2005/2006;88;Parco Bosco in citta';;;;
2006/2007;1;Duomo;542;457;85;
2006/2007;2;Brera;415;365;50;
2006/2007;3;Giardini P.ta Venezia;;;;
2006/2007;4;Guastalla;1173;1110;63;
2006/2007;5;Porta Vigentina - Porta Lodovica;314;283;31;
2006/2007;6;Porta Ticinese - Conca del Naviglio;270;191;79;
2006/2007;7;Magenta - S.Vittore;549;516;33;
2006/2007;8;Parco Sempione;;;;
2006/2007;9;Porta Garibaldi - Porta Nuova;;;;
2006/2007;10;Stazione Centrale - Ponte Seveso;423;386;37;
2006/2007;11;Isola;199;163;36;
2006/2007;12;Maciachini - Maggiolina;445;358;86;1
2006/2007;13;Greco - Segnano;361;271;89;1
2006/2007;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;437;381;56;
2006/2007;15;Bicocca;;;;
2006/2007;16;Gorla - Precotto;359;253;106;
2006/2007;17;Adriano;;;;
2006/2007;18;Cimiano - Rottole - Q.re Feltre;594;458;136;
2006/2007;19;Padova - Turro - Crescenzago;303;245;58;
2006/2007;20;Loreto - Casoretto - NoLo;936;695;241;
2006/2007;21;Buenos Aires - Porta Venezia - Porta Monforte;944;789;154;1
2006/2007;22;Citta' studi;542;491;51;
2006/2007;23;Lambrate - Ortica;241;237;4;
2006/2007;24;Parco Forlanini - Cavriano;;;;
2006/2007;25;Corsica;264;183;81;
2006/2007;26;XXII Marzo;395;328;67;
2006/2007;27;Pta Romana;41;38;3;
2006/2007;28;Umbria - Molise - Calvairate;101;50;51;
2006/2007;29;Ortomercato;;;;
2006/2007;30;Taliedo - Morsenchio - Q.re Forlanini;240;175;65;
2006/2007;31;Monlue' - Ponte Lambro;;;;
2006/2007;32;Triulzo Superiore;;;;
2006/2007;33;Rogoredo - Santa Giulia;102;84;18;
2006/2007;34;Chiaravalle;;;;
2006/2007;35;Lodi - Corvetto;588;440;148;
2006/2007;36;Scalo Romana;;;;
2006/2007;37;Morivione;181;141;40;
2006/2007;38;Vigentino - Q.re Fatima;146;128;18;
2006/2007;39;Quintosole;;;;
2006/2007;40;Ronchetto delle Rane;;;;
2006/2007;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;345;295;50;
2006/2007;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;389;325;64;
2006/2007;43;Tibaldi;82;82;;
2006/2007;44;Porta Ticinese - Conchetta;;;;
2006/2007;45;Moncucco - San Cristoforo;86;62;24;
2006/2007;46;Barona;208;184;24;
2006/2007;47;Cantalupa;;;;
2006/2007;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;289;249;40;
2006/2007;49;Giambellino;312;287;25;
2006/2007;50;Porta Genova;;;;
2006/2007;51;Porta Magenta;755;694;61;
2006/2007;52;Bande Nere;1154;1012;142;
2006/2007;53;Lorenteggio;355;269;86;
2006/2007;54;Muggiano;;;;
2006/2007;55;Baggio - Q.re degli Olmi - Q.re Valsesia;368;311;56;1
2006/2007;56;Forze Armate;270;224;46;
2006/2007;57;San Siro;138;102;36;
2006/2007;58;De Angeli - Monte Rosa;764;634;130;
2006/2007;59;Tre Torri;;;;
2006/2007;60;Stadio - Ippodromi;399;282;117;
2006/2007;61;Quarto Cagnino;140;116;24;
2006/2007;62;Quinto Romano;;;;
2006/2007;63;Figino;49;49;;
2006/2007;64;Trenno;;;;
2006/2007;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;562;512;50;
2006/2007;66;QT 8;119;104;15;
2006/2007;67;Portello;40;6;34;
2006/2007;68;Pagano;535;511;24;
2006/2007;69;Sarpi;401;325;76;
2006/2007;70;Ghisolfa;;;;
2006/2007;71;Villapizzone - Cagnola - Boldinasco;509;313;196;
2006/2007;72;Maggiore - Musocco - Certosa;80;58;22;
2006/2007;73;Cascina Merlata;;;;
2006/2007;74;Roserio;;;;
2006/2007;75;Stephenson;;;;
2006/2007;76;Quarto Oggiaro - Vialba - Musocco;464;399;65;
2006/2007;77;Bovisa;79;77;2;
2006/2007;78;Farini;;;;
2006/2007;79;Dergano;565;406;159;
2006/2007;80;Affori;380;270;110;
2006/2007;81;Bovisasca;158;118;40;
2006/2007;82;Comasina;176;168;8;
2006/2007;83;Bruzzano;150;117;33;
2006/2007;84;Parco Nord;;;;
2006/2007;85;Parco delle Abbazie;;;;
2006/2007;86;Parco dei Navigli;;;;
2006/2007;87;Assiano;;;;
2006/2007;88;Parco Bosco in citta';;;;
2007/2008;1;Duomo;566;465;95;6
2007/2008;2;Brera;768;651;100;17
2007/2008;3;Giardini P.ta Venezia;;;;
2007/2008;4;Guastalla;1744;1619;117;8
2007/2008;5;Porta Vigentina - Porta Lodovica;500;446;54;
2007/2008;6;Porta Ticinese - Conca del Naviglio;423;316;92;15
2007/2008;7;Magenta - S.Vittore;836;773;59;4
2007/2008;8;Parco Sempione;;;;
2007/2008;9;Porta Garibaldi - Porta Nuova;;;;
2007/2008;10;Stazione Centrale - Ponte Seveso;678;619;57;2
2007/2008;11;Isola;289;245;43;1
2007/2008;12;Maciachini - Maggiolina;631;503;124;4
2007/2008;13;Greco - Segnano;534;418;116;
2007/2008;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;662;569;92;1
2007/2008;15;Bicocca;;;;
2007/2008;16;Gorla - Precotto;551;397;153;1
2007/2008;17;Adriano;;;;
2007/2008;18;Cimiano - Rottole - Q.re Feltre;816;613;197;6
2007/2008;19;Padova - Turro - Crescenzago;420;325;92;3
2007/2008;20;Loreto - Casoretto - NoLo;1309;939;366;4
2007/2008;21;Buenos Aires - Porta Venezia - Porta Monforte;1441;1220;220;1
2007/2008;22;Citta' studi;698;628;68;2
2007/2008;23;Lambrate - Ortica;362;304;23;35
2007/2008;24;Parco Forlanini - Cavriano;;;;
2007/2008;25;Corsica;364;260;104;
2007/2008;26;XXII Marzo;493;403;90;
2007/2008;27;Pta Romana;54;51;3;
2007/2008;28;Umbria - Molise - Calvairate;;;;
2007/2008;29;Ortomercato;153;83;69;1
