Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;R2;LC00003165;1;Ville e Villini;NORMALE;P;1100;1450;L;4,8;5,8;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;R3;LC00003166;20;Abitazioni civili;NORMALE;P;1050;1350;L;4,4;5,8;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;R3;LC00003166;21;Abitazioni di tipo economico;NORMALE;P;850;1050;L;3,5;4,2;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;R3;LC00003166;13;Box;NORMALE;P;800;1000;L;3,7;4,4;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;R3;LC00003166;1;Ville e Villini;NORMALE;P;1100;1550;L;4,8;6,2;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;20;Abitazioni civili;NORMALE;P;1050;1300;L;4,2;5,3;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;21;Abitazioni di tipo economico;NORMALE;P;800;1000;L;3,3;4;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;13;Box;NORMALE;P;790;1050;L;3,4;4,6;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;1;Ville e Villini;NORMALE;P;1150;1350;L;4,4;5,4;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;9;Magazzini;NORMALE;P;360;500;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;5;Negozi;NORMALE;P;1000;1300;L;4,4;6;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;6;Uffici;NORMALE;P;1000;1250;L;3,9;5,6;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;8;Capannoni industriali;NORMALE;P;480;620;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;B2;LC00002566;10;Laboratori;NORMALE;P;480;620;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;R;R1;LC00002972;20;Abitazioni civili;NORMALE;P;950;1200;L;3,8;4,8;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;R;R1;LC00002972;21;Abitazioni di tipo economico;NORMALE;P;750;900;L;3,1;3,6;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;R;R1;LC00002972;13;Box;NORMALE;P;790;1000;L;3,4;4,6;L;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;R;R1;LC00002972;1;Ville e Villini;NORMALE;P;1050;1250;L;4,2;5;L;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;20;Abitazioni civili;NORMALE;P;980;1250;L;4;5;L;
